Distance,Group
447.21359549995793,Model
500.0,Model
424.26406871192853,Model
223.60679774997897,Model
141.4213562373095,Model
921.9544457292888,Model
0.0,Model
800.0,Model
100.0,Model
360.5551275463989,Model
608.276253029822,Model
424.26406871192853,Model
424.26406871192853,Model
640.3124237432849,Model
412.31056256176606,Model
316.22776601683796,Model
300.0,Model
424.26406871192853,Model
200.0,Model
360.5551275463989,Model
141.4213562373095,Model
141.4213562373095,Model
0.0,Model
412.31056256176606,Model
0.0,Model
141.4213562373095,Model
200.0,Model
223.60679774997897,Model
223.60679774997897,Model
300.0,Model
316.22776601683796,Model
100.0,Model
200.0,Model
360.5551275463989,Model
412.31056256176606,Model
1303.8404810405298,Control
1442.2205101855957,Control
1360.1470508735442,Control
721.1102550927978,Control
500.0,Control
223.60679774997897,Control
316.22776601683796,Control
670.820393249937,Control
100.0,Control
100.0,Control
447.21359549995793,Control
447.21359549995793,Control
360.5551275463989,Control
282.842712474619,Control
583.09518948453,Control
500.0,Control
412.31056256176606,Control
