names,scores,logfoldchanges,pvals,pvals_adj
SNCA,27.168894,4.8307548,2.2251975079428202e-94,6.130196614631676e-90
Tha1,-4.090396,-0.6228757,4.799707671458225e-05,0.0333511417381782
Slc10a4,-4.150665,-0.7626346,3.7227781694717664e-05,0.028488559941882693
Nr4a2,-4.169761,-0.82175404,3.432575607445112e-05,0.027018292974144396
Cul4b,-4.2528443,-0.818668,2.404946447408408e-05,0.019486432258721834
Th,-4.3344464,-0.7860335,1.6750855114133342e-05,0.014420915860601858
Slc6a3,-4.928447,-0.7377696,1.029739975053496e-06,0.0009782174680258195
Ppp4r4,-5.039817,-1.1783216,6.063947079781476e-07,0.0006425218388496149
Ddc,-5.352735,-0.75500584,1.1684295954013203e-07,0.00015023741097509362
Gm49337,-6.07502,-0.7347276,2.021059488513159e-09,3.09323154716939e-06
