,Model_Density,Control_Density,Fold_Change,Log2FC
Total_HB_Calcb,0.16324253939291186,0.18452364335008667,0.8846652481164933,-0.17679481257567495
Total_Epen,0.49952921386185445,0.5186079031776861,0.9632098693274947,-0.05407642264398575
Total_Sero,0.031409122018875614,0.03134742575893067,1.001936182072162,0.0027920594773211556
Total_DMX_VII_Tbx20,0.009729227476430416,0.009683696987722569,1.0045980260161262,0.006619781394144076
Total_Astro_NT,1.526840913770228,1.496404581418635,1.0203389593901002,0.029049912992032082
Total_OPC,0.06135152327017707,0.059989771688445236,1.0226826817430976,0.03235998540734878
Total_OB_STR_CTX,0.24109248204919334,0.23547500158523849,1.023851604520819,0.03400803757168922
Total_DG_PIR_Ex,0.08218010498906873,0.0799306628032618,1.028129556010127,0.040023475182564945
Total_GABA,5.8824260683649365,5.6928580023671085,1.0332990973286016,0.04725931136834861
Total_Astro_OLF,0.4916264660682347,0.4682214178013082,1.049984894736198,0.07036994719537619
Total_Tanycyte_NN,0.14499890416568548,0.1364483752069259,1.0626571499194788,0.08767756607444604
Total_Astro_TE,1.3555798183912877,1.2751195313808596,1.0630993580844446,0.08827779562398058
Total_VLMC,1.3867733776048994,1.2330260690406478,1.124690132459033,0.16952885668624762
Total_Glut,9.070388026970056,8.025211876414241,1.1302364394130329,0.17662588474628058
