Group,CellType,Abundance
Model,T_Cells,0.05554838478565216
Model,T_Cells,0.0715407133102417
Model,T_Cells,0.027327492833137512
Model,T_Cells,0.06753801554441452
Model,T_Cells,0.0446089468896389
Model,T_Cells,0.04045487195253372
Model,T_Cells,0.04982176050543785
Model,T_Cells,0.05910462141036987
Model,T_Cells,0.055206287652254105
Model,T_Cells,0.05200964957475662
Model,T_Cells,0.053509924560785294
Model,T_Cells,0.0659947469830513
Model,T_Cells,0.056785959750413895
Model,T_Cells,0.01762968674302101
Model,T_Cells,0.024241473525762558
Model,T_Cells,0.008396612480282784
Model,T_Cells,0.04434860870242119
Model,T_Cells,0.01950112171471119
Model,T_Cells,0.04523652046918869
Model,T_Cells,0.031166624277830124
Model,T_Cells,0.05885976552963257
Model,T_Cells,0.07513613998889923
Model,T_Cells,0.04275510832667351
Model,T_Cells,0.07178959250450134
Model,T_Cells,0.01353183388710022
Model,T_Cells,0.044280849397182465
Model,T_Cells,0.06264098733663559
Model,T_Cells,0.06980101764202118
Model,T_Cells,0.06093056499958038
Model,T_Cells,0.059126704931259155
Model,T_Cells,0.02279307134449482
Model,T_Cells,0.037870343774557114
Model,T_Cells,0.019329672679305077
Model,T_Cells,0.00843471847474575
Model,T_Cells,0.009163967333734035
Model,T_Cells,0.06550229340791702
Model,T_Cells,0.031721845269203186
Model,T_Cells,0.055050626397132874
Model,T_Cells,0.08640415966510773
Model,T_Cells,0.06823033094406128
Model,T_Cells,0.070586659014225
Model,T_Cells,0.011199372820556164
Model,T_Cells,0.053542595356702805
Model,T_Cells,0.03021138533949852
Model,T_Cells,0.07041667401790619
Model,T_Cells,0.0769183412194252
Model,T_Cells,0.033493466675281525
Model,T_Cells,0.0526573583483696
Model,T_Cells,0.03521144017577171
Model,T_Cells,0.05798926204442978
Model,T_Cells,0.034711770713329315
Model,T_Cells,0.029624439775943756
Model,T_Cells,0.05157238990068436
Model,T_Cells,0.0326712541282177
Model,T_Cells,0.05291933938860893
Model,T_Cells,0.04807626083493233
Model,T_Cells,0.0531592033803463
Model,T_Cells,0.05734368786215782
Model,T_Cells,0.05600588768720627
Model,T_Cells,0.07448101043701172
Model,T_Cells,0.08528418093919754
Model,T_Cells,0.051718421280384064
Model,T_Cells,0.04900630936026573
Model,T_Cells,0.0523819662630558
Model,T_Cells,0.04295489937067032
Model,T_Cells,0.05468263849616051
Model,T_Cells,0.05937981233000755
Model,T_Cells,0.05712803825736046
Model,T_Cells,0.046374380588531494
Model,T_Cells,0.03414621949195862
Model,T_Cells,0.06250376999378204
Model,T_Cells,0.044589340686798096
Model,T_Cells,0.048643529415130615
Model,T_Cells,0.051858916878700256
Model,T_Cells,0.07143489271402359
Model,T_Cells,0.052265577018260956
Model,T_Cells,0.04528803750872612
Model,T_Cells,0.049890849739313126
Model,T_Cells,0.05331786349415779
Model,T_Cells,0.09677796065807343
Model,T_Cells,0.019945601001381874
Model,T_Cells,0.027936724945902824
Model,T_Cells,0.03499200940132141
Model,T_Cells,0.05024408921599388
Model,T_Cells,0.04365796595811844
Model,T_Cells,0.051092199981212616
Model,T_Cells,0.05004173144698143
Model,T_Cells,0.05321855470538139
Model,T_Cells,0.03571444749832153
Model,T_Cells,0.05945155397057533
Model,T_Cells,0.04462091624736786
Model,T_Cells,0.07788144052028656
Model,T_Cells,0.05396216735243797
Model,T_Cells,0.048920001834630966
Model,T_Cells,0.07437390089035034
Model,T_Cells,0.06323491781949997
Model,T_Cells,0.06402178108692169
Model,T_Cells,0.05273396894335747
Model,T_Cells,0.029393009841442108
Model,T_Cells,0.09173890203237534
Model,T_Cells,0.07166828215122223
Model,T_Cells,0.04642169177532196
Model,T_Cells,0.06117023900151253
Model,T_Cells,0.016910012811422348
Model,T_Cells,0.056824736297130585
Model,T_Cells,0.03073808178305626
Model,T_Cells,0.04854505881667137
Model,T_Cells,0.0500398688018322
Model,T_Cells,0.030781105160713196
Model,T_Cells,0.048086754977703094
Model,T_Cells,0.0249427929520607
Model,T_Cells,0.05683859810233116
Model,T_Cells,0.09544960409402847
Model,T_Cells,0.06228679418563843
Model,T_Cells,0.06360969692468643
Model,T_Cells,0.05651939660310745
Model,T_Cells,0.07130201160907745
Model,T_Cells,0.055202916264534
Model,T_Cells,0.07891859859228134
Model,T_Cells,0.06380131095647812
Model,T_Cells,0.05608898401260376
Model,T_Cells,0.05747539550065994
Model,T_Cells,0.06266861408948898
Model,T_Cells,0.025821447372436523
Model,T_Cells,0.034052055329084396
Model,T_Cells,0.04016673192381859
Model,T_Cells,0.017188960686326027
Model,T_Cells,0.05323991924524307
Model,T_Cells,0.010493920184671879
Model,T_Cells,0.02131120301783085
Model,T_Cells,0.042180679738521576
Model,T_Cells,0.06499109417200089
Model,T_Cells,0.04343551769852638
Model,T_Cells,0.0314156748354435
Model,T_Cells,0.06372511386871338
Model,T_Cells,0.046957988291978836
Model,T_Cells,0.01643482968211174
Model,T_Cells,0.05655129253864288
Model,T_Cells,0.05603305622935295
Model,T_Cells,0.05733880028128624
Model,T_Cells,0.08859323710203171
Model,T_Cells,0.05109042301774025
Model,T_Cells,0.05139721930027008
Model,T_Cells,0.00787461455911398
Model,T_Cells,0.0032135513611137867
Model,T_Cells,0.060940373688936234
Model,T_Cells,0.07123773545026779
Model,T_Cells,0.050006620585918427
Model,T_Cells,0.05240417644381523
Model,T_Cells,0.0749710351228714
Model,T_Cells,0.046707600355148315
Model,T_Cells,0.08347479999065399
Model,T_Cells,0.06693070381879807
Model,T_Cells,0.07874418050050735
Model,T_Cells,0.040958963334560394
Model,T_Cells,0.0545341819524765
Model,T_Cells,0.05201374739408493
Model,T_Cells,0.050217993557453156
Model,T_Cells,0.05420726537704468
Model,T_Cells,0.09960636496543884
Model,T_Cells,0.01790081150829792
Model,T_Cells,0.00543975830078125
Model,T_Cells,0.016451209783554077
Model,T_Cells,0.034521520137786865
Model,T_Cells,0.01155959814786911
Model,T_Cells,0.055021703243255615
Model,T_Cells,0.05463166907429695
Model,T_Cells,0.056267909705638885
Model,T_Cells,0.05683773010969162
Model,T_Cells,0.06802055239677429
Model,T_Cells,0.07319893687963486
Model,T_Cells,0.07020710408687592
Model,T_Cells,0.06121978536248207
Model,T_Cells,0.07428735494613647
Model,T_Cells,0.05515652149915695
Model,T_Cells,0.057853199541568756
Model,T_Cells,0.039873577654361725
Model,T_Cells,0.045494090765714645
