Group,Distance
Model,223.60679774997897
Model,300.0
Model,100.0
Model,0.0
Model,100.0
Model,447.21359549995793
Model,0.0
Model,300.0
Model,100.0
Model,141.4213562373095
Model,141.4213562373095
Model,316.22776601683796
Model,100.0
Model,500.0
Model,200.0
Model,100.0
Model,141.4213562373095
Model,141.4213562373095
Model,141.4213562373095
Model,223.60679774997897
Model,0.0
Model,0.0
Model,0.0
Model,300.0
Model,0.0
Model,0.0
Model,200.0
Model,100.0
Model,200.0
Model,0.0
Model,141.4213562373095
Model,100.0
Model,0.0
Model,100.0
Model,282.842712474619
Control,1019.803902718557
Control,984.8857801796105
Control,894.4271909999159
Control,447.21359549995793
Control,141.4213562373095
Control,223.60679774997897
Control,200.0
Control,200.0
Control,100.0
Control,100.0
Control,0.0
Control,100.0
Control,100.0
Control,141.4213562373095
Control,200.0
Control,100.0
Control,282.842712474619
