Group,Signature,Score
Model,DAM,9.518666666666666
Model,DAM,12.142666666666667
Model,DAM,11.712
Model,DAM,10.693333333333333
Model,DAM,11.970666666666666
Model,DAM,11.858666666666666
Model,DAM,9.424
Model,DAM,14.974666666666666
Model,DAM,11.732
Model,DAM,10.288
Model,DAM,12.465333333333334
Model,DAM,11.309333333333335
Model,DAM,12.794666666666666
Model,DAM,10.475999999999999
Model,DAM,13.994666666666665
Model,DAM,6.741333333333333
Model,DAM,12.250666666666666
Model,DAM,10.438666666666666
Model,DAM,9.332
Model,DAM,12.854666666666667
Model,DAM,11.213333333333335
Model,DAM,11.237333333333334
Model,DAM,11.475999999999999
Model,DAM,13.637333333333334
Model,DAM,9.028
Model,DAM,8.181333333333335
Model,DAM,7.057333333333333
Model,DAM,13.213333333333335
Model,DAM,9.792
Model,DAM,10.529333333333334
Model,DAM,9.176
Model,DAM,10.297333333333334
Model,DAM,10.584
Model,DAM,10.064
Model,DAM,7.217333333333334
Model,DAM,6.608
Model,DAM,9.676
Model,DAM,11.605333333333334
Model,DAM,10.582666666666666
Model,DAM,13.010666666666665
Model,DAM,10.581333333333333
Model,DAM,8.814666666666666
Model,DAM,8.410666666666666
Model,DAM,8.738666666666665
Model,DAM,13.010666666666665
Model,DAM,8.132
Model,DAM,9.021333333333335
Model,DAM,10.050666666666666
Model,DAM,11.306666666666667
Model,DAM,9.533333333333333
Model,DAM,7.589333333333334
Model,DAM,8.628
Model,DAM,8.656
Model,DAM,8.48
Model,DAM,9.208
Model,DAM,11.054666666666666
Model,DAM,10.736
Model,DAM,11.825333333333333
Model,DAM,10.408
Model,DAM,12.304
Model,DAM,10.486666666666666
Model,DAM,12.022666666666666
Model,DAM,9.756
Model,DAM,11.046666666666667
Model,DAM,8.66
Model,DAM,11.212
Model,DAM,8.637333333333334
Model,DAM,7.861333333333334
Model,DAM,10.422666666666666
Model,DAM,9.834666666666665
Model,DAM,12.210666666666667
Model,DAM,12.297333333333334
Model,DAM,10.096
Model,DAM,9.346666666666666
Model,DAM,12.856
Model,DAM,19.249333333333333
Model,DAM,9.565333333333333
Model,DAM,11.256
Model,DAM,9.796
Model,DAM,11.745333333333335
Model,DAM,9.433333333333334
Model,DAM,9.116
Model,DAM,9.894666666666666
Model,DAM,7.344
Model,DAM,7.450666666666666
Model,DAM,10.304
Model,DAM,11.069333333333335
Model,DAM,9.076
Model,DAM,9.774666666666667
Model,DAM,13.649333333333335
Model,DAM,10.502666666666666
Model,DAM,13.28
Model,DAM,10.709333333333333
Model,DAM,11.96
Model,DAM,10.841333333333335
Model,DAM,11.493333333333334
Model,DAM,11.213333333333335
Model,DAM,11.605333333333334
Model,DAM,7.553333333333334
Model,DAM,8.692
Model,DAM,12.093333333333334
Model,DAM,14.565333333333333
Model,DAM,10.828
Model,DAM,9.144
Model,DAM,9.410666666666666
Model,DAM,9.349333333333334
Model,DAM,12.662666666666667
Model,DAM,15.536
Model,DAM,10.62
Model,DAM,11.608
Model,DAM,11.214666666666666
Model,DAM,12.285333333333334
Model,DAM,12.321333333333333
Model,DAM,14.745333333333335
Model,DAM,10.862666666666666
Model,DAM,10.157333333333334
Model,DAM,9.925333333333334
Model,DAM,10.609333333333334
Model,DAM,11.733333333333334
Model,DAM,14.009333333333334
Model,DAM,13.717333333333334
Model,DAM,11.852
Model,DAM,9.912
Model,DAM,6.537333333333333
Model,DAM,7.981333333333334
Model,DAM,7.208
Model,DAM,9.874666666666666
Model,DAM,11.284
Model,DAM,10.408
Model,DAM,12.686666666666666
Model,DAM,14.370666666666667
Model,DAM,9.812
Model,DAM,10.166666666666666
Model,DAM,10.294666666666666
Model,DAM,11.669333333333334
Model,DAM,13.065333333333333
Model,DAM,9.794666666666666
Model,DAM,11.029333333333334
Model,DAM,9.928
Model,DAM,10.966666666666667
Model,DAM,11.094666666666667
Model,DAM,15.426666666666668
Model,DAM,14.374666666666666
