Cell Type,Model (Left),Control (Right),Fold Change,Category,Trend
SNc-VTA-RAmb Foxa1 Dopa_1,3.283796795643866,3.1635445724241436,1.0380118627788337,DA Neuron,Stable
SNc-VTA-RAmb Foxa1 Dopa_2,3.18850869697053,3.9615959242219105,0.8048545982871598,DA Neuron,Stable
SNc-VTA-RAmb Foxa1 Dopa_3,475.11888816487044,714.8233815847198,0.6646661264925278,DA Neuron,Changed
SNc-VTA-RAmb Foxa1 Dopa_4,2.754219068447128,2.7333587475586683,1.0076317533874612,DA Neuron,Stable
SNc-VTA-RAmb Foxa1 Dopa_5,2.2061836635693908,2.3405681957956403,0.9425846538416488,DA Neuron,Stable
SNc-VTA-RAmb Foxa1 Dopa_6,2.804351026774384,3.365771353710443,0.8331971281559742,DA Neuron,Stable
SNc-VTA-RAmb Foxa1 Dopa_7,9.163760381983593,13.395877482951619,0.6840731704930759,DA Neuron,Changed
SNc-VTA-RAmb Foxa1 Dopa_8,2.5703709586523473,2.43638289347291,1.0549946662667014,DA Neuron,Stable
T cells NN_4,18.20039275707677,18.45577559620142,0.9861624433619915,Immune,Stable
Microglia NN_1,77.69653760269284,82.03844344615936,0.9470747412795182,Immune,Stable
NK cells NN_3,15.993208501953632,15.79195757303387,1.0127438873221564,Immune,Stable
BAM NN_1,23.695630925125442,20.087960033444688,1.1795936911709655,Immune,Stable
B cells NN_1,15.424056088551879,16.332355632912368,0.9443864947763871,Immune,Stable
DC NN_1,22.333885337458923,21.0156597555615,1.0627258718578105,Immune,Stable
