Target_Gene,ROI_Group,Distance
Galectin 3,Model,1252.9964086141667
Galectin 3,Model,1280.6248474865697
Galectin 3,Model,1004.987562112089
Galectin 3,Model,1029.5630140987
Galectin 3,Model,943.3981132056604
Galectin 3,Model,632.4555320336759
Galectin 3,Model,806.2257748298549
Galectin 3,Model,500.0
Galectin 3,Model,721.1102550927978
Galectin 3,Model,509.9019513592785
Galectin 3,Model,316.22776601683796
Galectin 3,Model,806.2257748298549
Galectin 3,Model,412.31056256176606
Galectin 3,Model,824.6211251235321
Galectin 3,Model,400.0
Galectin 3,Model,100.0
Galectin 3,Model,0.0
Galectin 3,Model,316.22776601683796
Galectin 3,Model,100.0
Galectin 3,Model,300.0
Galectin 3,Model,223.60679774997897
Galectin 3,Model,282.842712474619
Galectin 3,Model,223.60679774997897
Galectin 3,Model,447.21359549995793
Galectin 3,Model,141.4213562373095
Galectin 3,Model,0.0
Galectin 3,Model,223.60679774997897
Galectin 3,Model,100.0
Galectin 3,Model,223.60679774997897
Galectin 3,Model,412.31056256176606
Galectin 3,Model,200.0
Galectin 3,Model,700.0
Galectin 3,Model,100.0
Galectin 3,Model,300.0
Galectin 3,Model,360.5551275463989
Galectin 3,Control,1746.424919657298
Galectin 3,Control,1702.93863659264
Galectin 3,Control,1603.1219541881396
Galectin 3,Control,1170.4699910719626
Galectin 3,Control,1077.0329614269008
Galectin 3,Control,761.5773105863908
Galectin 3,Control,848.5281374238571
Galectin 3,Control,854.4003745317531
Galectin 3,Control,509.9019513592785
Galectin 3,Control,424.26406871192853
Galectin 3,Control,223.60679774997897
Galectin 3,Control,100.0
Galectin 3,Control,0.0
Galectin 3,Control,100.0
Galectin 3,Control,223.60679774997897
Galectin 3,Control,316.22776601683796
Galectin 3,Control,223.60679774997897
Itgax,Model,141.4213562373095
Itgax,Model,223.60679774997897
Itgax,Model,632.4555320336759
Itgax,Model,360.5551275463989
Itgax,Model,447.21359549995793
Itgax,Model,1063.014581273465
Itgax,Model,447.21359549995793
Itgax,Model,1166.19037896906
Itgax,Model,360.5551275463989
Itgax,Model,400.0
Itgax,Model,1170.4699910719626
Itgax,Model,141.4213562373095
Itgax,Model,300.0
Itgax,Model,223.60679774997897
Itgax,Model,608.276253029822
Itgax,Model,905.5385138137417
Itgax,Model,1004.987562112089
Itgax,Model,400.0
Itgax,Model,1000.0
Itgax,Model,412.31056256176606
Itgax,Model,905.5385138137417
Itgax,Model,824.6211251235321
Itgax,Model,1019.803902718557
Itgax,Model,424.26406871192853
Itgax,Model,761.5773105863908
Itgax,Model,721.1102550927978
Itgax,Model,509.9019513592785
Itgax,Model,781.0249675906655
Itgax,Model,943.3981132056604
Itgax,Model,1118.033988749895
Itgax,Model,848.5281374238571
Itgax,Model,860.2325267042627
Itgax,Model,761.5773105863908
Itgax,Model,921.9544457292888
Itgax,Model,1063.014581273465
AXL,Model,0.0
AXL,Model,141.4213562373095
AXL,Model,0.0
AXL,Model,200.0
AXL,Model,223.60679774997897
AXL,Model,100.0
AXL,Model,100.0
AXL,Model,141.4213562373095
AXL,Model,0.0
AXL,Model,200.0
AXL,Model,100.0
AXL,Model,100.0
AXL,Model,100.0
AXL,Model,100.0
AXL,Model,100.0
AXL,Model,100.0
AXL,Model,100.0
AXL,Model,141.4213562373095
AXL,Model,100.0
AXL,Model,100.0
AXL,Model,100.0
AXL,Model,100.0
AXL,Model,100.0
AXL,Model,0.0
AXL,Model,100.0
AXL,Model,0.0
AXL,Model,223.60679774997897
AXL,Model,0.0
AXL,Model,141.4213562373095
AXL,Model,141.4213562373095
AXL,Model,100.0
AXL,Model,360.5551275463989
AXL,Model,223.60679774997897
AXL,Model,141.4213562373095
AXL,Model,141.4213562373095
AXL,Control,100.0
AXL,Control,0.0
AXL,Control,100.0
AXL,Control,223.60679774997897
AXL,Control,0.0
AXL,Control,100.0
AXL,Control,0.0
AXL,Control,0.0
AXL,Control,100.0
AXL,Control,100.0
AXL,Control,200.0
AXL,Control,141.4213562373095
AXL,Control,100.0
AXL,Control,0.0
AXL,Control,100.0
AXL,Control,0.0
AXL,Control,200.0
