Region,Distance_Label,Dopa Neurons (%),Microglia (%),NK cells (%),B cells (%),DC (%),BAM (%)
Control (Right),50,70.77212142154603,13.130372524766248,2.787819322606735,2.8817169596177123,6.73822408644901,3.6897456850142647
Control (Right),100,76.50910125832495,10.05761803530868,2.238395424414849,2.3414789995601604,5.622426278559095,3.2309800038322587
Control (Right),150,81.94887293502391,7.289834665845656,1.549225940677103,1.5947747220040078,4.3696522476886175,3.247639488760703
Control (Right),200,80.35311805362349,9.554113864438147,1.6157002274773533,1.6163538529157004,4.0960663698056745,2.764647631739628
Control (Right),250,72.1744210344167,14.527303543646648,2.168946811901599,2.2566105423117455,5.634501161554516,3.238216906168794
Control (Right),300,63.22083325362189,17.12436452677702,3.2815403658405815,3.6301197158752254,8.79682436305334,3.9463177748319462
Model (Left),50,27.304423335258104,32.086026262439496,6.942149136156382,6.034703013321794,17.167911132399784,10.464787120424436
Model (Left),100,52.67629397648338,21.4198719641254,4.22137413565208,4.079122998317923,10.64565303464138,6.95768389077984
Model (Left),150,57.40802045040817,20.331357533039224,3.7213464955972877,3.5678236246521102,9.290956589764418,5.680495306538784
Model (Left),200,64.75192025806638,15.875644054842203,2.9237029608858305,2.7544649017633387,8.101214890418698,5.593052934023553
Model (Left),250,67.94350357360635,15.366604123282524,2.586665080749391,2.5692255677572717,6.930455586020128,4.603546068584327
Model (Left),300,72.13295496274117,13.0812076291245,2.487047556386333,2.3152768531195385,6.588793775931973,3.3947192226964873
