Region,Distance_Label,Dopa Neurons (%),Microglia (%),NK cells (%),B cells (%),DC (%),BAM (%),Astrocytes (%),Oligodendrocytes (%)
Control (Right),50,4.327594302891007,0.8028998451884148,0.17047038827819297,0.17621206834686368,0.41203088988147896,0.22562164429796439,21.213729440734344,72.67144142038174
Control (Right),100,5.334195125584602,0.7012145773062228,0.15606036099849452,0.16324732170022047,0.39199413345331074,0.2252631060076405,20.90236116576297,72.12566420918655
Control (Right),150,8.422801426170757,0.7492577703749221,0.1592312620692424,0.1639128193204908,0.4491179910782162,0.33379620167944085,23.01274941362076,66.70913311568617
Control (Right),200,7.8512199943850005,0.9335225765731826,0.157868396873375,0.15793226193841164,0.40022240530211867,0.27013085850953467,22.95697280227468,67.27213070414369
Control (Right),250,5.505617632069981,1.108173469077002,0.16545185454183425,0.17213902948444978,0.4298116770230915,0.24701804101162753,23.04563309476204,69.32615520202997
Control (Right),300,3.239920311109784,0.8775837582301124,0.16817129316156926,0.1860351721724646,0.450816739677962,0.2022395855094033,21.42698722246657,73.44824591767214
Model (Left),50,0.7314029077322717,0.8594875862336334,0.18595917598227713,0.1616514392942604,0.45987640785337774,0.28031999191845625,22.08296624769639,75.23833624328934
Model (Left),100,2.07509878376686,0.8438017731665375,0.16629431711022022,0.1606905599020282,0.4193685621553111,0.27408688595361547,21.73115660413989,74.32950251380554
Model (Left),150,2.5431331909079877,0.9006642234451331,0.16485291974137908,0.15805196918427994,0.41158256099644314,0.2516417748167296,22.33178167781663,73.23829168309142
Model (Left),200,3.617208692477933,0.8868542808459356,0.16332556196311804,0.153871489001016,0.4525546857060769,0.31244231228677616,22.962339769109192,71.45140320860996
Model (Left),250,4.190012869088716,0.9476442285757734,0.15951723720901248,0.1584417586124685,0.42739477016537925,0.2838964177040784,21.97849733054465,71.85459538809992
Model (Left),300,4.644804388248821,0.8423285948944642,0.16014662659603543,0.14908592186380445,0.42426735823484646,0.21859366153234422,21.89176503046059,71.66900841816908
