Region,Distance_Label,Astrocytes (%),Oligodendrocytes (%)
Control (Right),50,22.595399514280825,77.40460048571917
Control (Right),100,22.468886210919763,77.53111378908024
Control (Right),150,25.648981903722124,74.35101809627788
Control (Right),200,25.442980047609197,74.5570199523908
Control (Right),250,24.948778755604533,75.05122124439548
Control (Right),300,22.584384262663264,77.41561573733674
Model (Left),50,22.69078370559395,77.30921629440604
Model (Left),100,22.6223271875096,77.37767281249039
Model (Left),150,23.36691904952666,76.63308095047334
Model (Left),200,24.32097176205387,75.67902823794613
Model (Left),250,23.422970184353236,76.57702981564675
Model (Left),300,23.398443838731673,76.60155616126832
