Target_Gene,Region,Distance
Galectin 3,Model_WholeBrain,1208.3045973594571
Galectin 3,Model_WholeBrain,921.9544457292888
Galectin 3,Model_WholeBrain,948.6832980505138
Galectin 3,Model_WholeBrain,806.2257748298549
Galectin 3,Model_WholeBrain,824.6211251235321
Galectin 3,Model_WholeBrain,1000.0
Galectin 3,Model_WholeBrain,1063.014581273465
Galectin 3,Model_WholeBrain,1131.370849898476
Galectin 3,Model_WholeBrain,707.1067811865476
Galectin 3,Model_WholeBrain,700.0
Galectin 3,Model_WholeBrain,1140.175425099138
Galectin 3,Model_WholeBrain,1220.6555615733703
Galectin 3,Model_WholeBrain,632.4555320336759
Galectin 3,Model_WholeBrain,1236.9316876852981
Galectin 3,Model_WholeBrain,1140.175425099138
Galectin 3,Model_WholeBrain,948.6832980505138
Galectin 3,Model_WholeBrain,824.6211251235321
Galectin 3,Model_WholeBrain,728.0109889280518
Galectin 3,Model_WholeBrain,412.31056256176606
Galectin 3,Model_WholeBrain,300.0
Galectin 3,Model_WholeBrain,360.5551275463989
Galectin 3,Model_WholeBrain,412.31056256176606
Galectin 3,Model_WholeBrain,447.21359549995793
Galectin 3,Model_WholeBrain,538.5164807134504
Galectin 3,Model_WholeBrain,608.276253029822
Galectin 3,Model_WholeBrain,100.0
Galectin 3,Model_WholeBrain,141.4213562373095
Galectin 3,Model_WholeBrain,707.1067811865476
Galectin 3,Model_WholeBrain,200.0
Galectin 3,Model_WholeBrain,0.0
Galectin 3,Model_WholeBrain,100.0
Galectin 3,Model_WholeBrain,806.2257748298549
Galectin 3,Model_WholeBrain,141.4213562373095
Galectin 3,Model_WholeBrain,806.2257748298549
Galectin 3,Model_WholeBrain,905.5385138137417
Galectin 3,Model_WholeBrain,848.5281374238571
Galectin 3,Model_WholeBrain,282.842712474619
Galectin 3,Model_WholeBrain,447.21359549995793
Galectin 3,Model_WholeBrain,921.9544457292888
Galectin 3,Model_WholeBrain,141.4213562373095
Galectin 3,Model_WholeBrain,316.22776601683796
Galectin 3,Model_WholeBrain,424.26406871192853
Galectin 3,Model_WholeBrain,921.9544457292888
Galectin 3,Model_WholeBrain,848.5281374238571
Galectin 3,Model_WholeBrain,608.276253029822
Galectin 3,Model_WholeBrain,1000.0
Galectin 3,Model_WholeBrain,943.3981132056604
Galectin 3,Model_WholeBrain,0.0
Galectin 3,Model_WholeBrain,200.0
Galectin 3,Model_WholeBrain,860.2325267042627
